"MAKE","MODEL","MFRNAME","WGHTCLASS","MAKETYPE","SIZECATEGORY","STARTPRICE","ENDPRICE","CREW","PAS","FUELCAPSTDLB","FUELCAPSTD","WGHTRAMP","WGHTTAKEOFF","WGHTZERO","WGHTBASOP","WGHTLAND","SPDSTALLVS","SPDSTALLVSO","SPDCRUIS","SPDMAX","CLIMBNORM","CLIMBENGOUT","CLIMBCEILING","LANDLNGTH","TAKEOFFALI","TAKEOFF500","RANGE","RANGETANKSFULL","ENGNUMOF","ENGINEMODELS","ENGTHRUST","ENGSHAFT","ENGTCOMBO"
"AIRBUS","ACJ TWOTWENTY","Airbus SAS","Heavy","Business Jet","Airline Business Jet","80000000","100000000","4","19","50578","7549","141000","140500","108000","87675","112500","110","0","432","330","0","0","41000","2300","5478","8706","5686","5684","2","PW1500G, PW1519G, PW1524G, ","19000","0","0"
"AIRBUS","ACJ318","Airbus SAS","Heavy","Business Jet","Airline Business Jet","26500000","44400000","4","19","48660","7263","150800","149900","120150","96694","126765","0","121","444","350","3000","0","41000","4050","5870","7660","4250","4000","2","CFM56-5B6/P, CFM56-5B8/P, CFM56-5B9/3, CFM56-5B9/P, PW6124, ","23500","0","0"
"AIRBUS","ACJ319","Airbus SAS","Heavy","Business Jet","Airline Business Jet","39500000","70000000","4","19","42230","6303","169530","168650","128970","96450","137790","138","111","447","350","3300","770","41000","2220","6170","8360","6000","6134","2","CFM56-5B5/3, CFM56-5B5/P, CFM56-5B6, CFM56-5B6/P, CFM56-5B7/3, CFM56-5B7/P, V2500 SelectOne, V2524-A5, V2527M-A5, ","22000","0","0"
"AIRBUS","ACJ319neo","Airbus SAS","Heavy","Business Jet","Airline Business Jet","100000000","107500000","4","19","66209","9882","173283","172401","116845","104000","140875","119","0","447","350","3000","0","41000","2220","6217","8189","6750","6750","2","LEAP-1A, LEAP-1A24, LEAP-1A26, LEAP-1A26CJ, PW1124G, PW1127G-JM, ","24500","0","0"
"AIRBUS","ACJ320","Airbus SAS","Heavy","Business Jet","Airline Business Jet","80000000","115000000","4","19","60803","9075","175045","174165","141757","110000","148592","98","127","451","350","3300","0","39000","2400","6920","9355","4300","6000","2","CFM56-5B4/3, LEAP-1A26, V2527-A5, ","27000","0","0"
"AIRBUS","ACJ320neo","Airbus SAS","Heavy","Business Jet","Airline Business Jet","80000000","117000000","4","19","60812","9076","175045","174165","141757","110000","148592","115","0","447","350","0","0","41000","2565","6333","8189","6000","6000","2","LEAP-1A26, PW1127G-JM, ","27120","0","0"
"AIRBUS","ACJ330","Airbus SAS","Heavy","Business Jet","Airline Business Jet","208600000","225000000","4","25","246225","36750","509000","507000","370400","265457","396800","179","135","432","358","0","0","41000","5680","9110","0","8500","0","2","CF6-80E1A4, Trent 772B-60, ","66870","0","0"
"AIRBUS","ACJ330neo","Airbus SAS","Heavy","","Airline Business Jet","200000000","390000000","4","25","246225","36750","531100","529100","374800","0","401200","0","0","0","0","0","0","41000","5680","9110","0","9400","0","2","Trent 772B-60, ","71100","0","0"
"BOEING","BBJ","The Boeing Company","Heavy","Business Jet","Airline Business Jet","38000000","64500000","4","19","56012","8360","171500","171000","126000","103345","134000","135","117","452","340","1321","0","41000","3837","6085","10330","6297","6285","2","CFM56-7B24, CFM56-7B26, CFM56-7B26/B1, CFM56-7B27, CFM56-7B27/B3, CFM56-7B27E, CFM56-7BE, ","27300","0","0"
"BOEING","BBJ MAX 7","The Boeing Company","Heavy","Business Jet","Airline Business Jet","86640000","101500000","4","19","67690","10103","177500","177000","138700","101550","145600","118","0","456","340","0","0","41000","2360","6820","0","6810","6525","2","LEAP-1B, LEAP-1B27, ","29320","0","0"
"BOEING","BBJ MAX 8","The Boeing Company","Heavy","Business Jet","Airline Business Jet","99085000","110500000","4","19","69553","10381","181700","181200","145400","105200","152800","120","0","456","340","0","0","41000","2335","6600","0","6680","6465","2","LEAP-1B, LEAP-1B28, ","29320","0","0"
"BOEING","BBJ2","The Boeing Company","Heavy","Business Jet","Airline Business Jet","22500000","77500000","4","19","49546","7395","174700","174200","138300","101172","146300","0","121","454","340","1370","0","41000","2370","6670","12850","5648","5726","2","CFM56-7B27, CFM56-7BE, ","27300","0","0"
"BOEING","BBJ3","The Boeing Company","Heavy","Business Jet","Airline Business Jet","77500000","97000000","4","19","52508","7837","188200","187700","149300","112426","157300","0","0","452","378","1423","0","41000","7000","8350","14500","5496","0","2","CFM56-7B, CFM56-7B27E, CFM56-7BE, ","19500","0","0"
"BOEING","BBJ747-8","The Boeing Company","Heavy","Business Jet","Airline Business Jet","530100000","558000000","4","14","426109","63598","990000","987000","651000","486076","688000","235","148","495","415","0","0","43000","6920","10450","0","8875","0","4","GEnx-2B67, ","66500","0","0"
"BOEING","BBJ787-8","The Boeing Company","Heavy","Business Jet","Airline Business Jet","318000000","325000000","4","40","223378","33340","503500","502500","355000","260664","380000","0","166","490","413","0","0","43000","8000","12800","0","9955","0","2","GEnx-1B70, Trent 1000, ","69800","0","0"
"BOEING","BBJ787-9","The Boeing Company","Heavy","Business Jet","Airline Business Jet","350000000","400000000","4","40","223673","33384","559000","557000","400000","349700","425000","0","166","490","413","0","0","43000","8000","12000","0","9500","0","2","GEnx-1B74/75, Trent 1000, ","74500","0","0"
"EMBRAER","LINEAGE 1000","Embraer, SA","Heavy","Business Jet","Airline Business Jet","13303000","19618000","3","19","48217","7197","120593","120152","80469","70548","100972","175","110","454","320","2464","720","41000","2038","6076","9500","3965","4532","2","CF34-10E7-B, ","18500","0","0"
"EMBRAER","LINEAGE 1000E","Embraer, SA","Heavy","Business Jet","Airline Business Jet","24387000","35159000","3","19","48217","7197","120593","120152","80469","70548","100972","175","110","454","320","0","0","41000","2038","6076","9500","3965","4532","2","CF34-10E7-B, ","18500","0","0"
"SUKHOI","SBJ","Sukhoi Civil Aircraft (CJSC)","Heavy","Business Jet","Airline Business Jet","14890000","25250000","3","10","42411","6330","109019","109019","88185","0","90390","0","0","537","465","0","0","51000","0","6732","0","4250","0","2","SaM146-1S18, ","17800","0","0"
